site,Date,dsp_toxins,dsp_phyto,mean_chl,mean_sst,mean_temp,max_temp,min_temp,mean_wind_intensity,mean_wind_dir,wind_dir,rainfall
ETJ1,2021-01-06,36.0,20.0,8.029298,285.76334,5.833333333333333,14.6,-2.0,1.9166666666666667,70.5,4.166666666666667,4.6000000000000005
ETJ1,2021-01-13,36.0,20.0,6.6850815,285.45712,6.114285714285714,13.8,-3.5,3.1,34.57142857142857,2.0,0.0
ETJ1,2021-01-20,36.0,20.0,6.9277453,285.92715,8.6,17.4,-2.3,2.1,54.0,3.2857142857142856,28.4
ETJ1,2021-01-27,36.0,20.0,6.929415,286.36856,14.528571428571428,17.5,7.6,2.9,254.57142857142856,5.571428571428571,12.2
ETJ1,2021-02-03,36.0,20.0,6.2824326,286.76715,14.457142857142856,17.8,12.2,2.142857142857143,223.57142857142856,5.0,9.3
ETJ1,2021-02-10,36.0,20.0,5.9595795,286.8343,12.928571428571429,17.4,7.4,3.242857142857143,254.7142857142857,5.571428571428571,45.6
ETJ1,2021-02-17,36.0,40.0,9.866098,286.49142,12.771428571428572,21.9,3.8,1.9428571428571428,162.71428571428572,3.571428571428572,2.8000000000000003
ETJ1,2021-02-24,36.0,20.0,8.458051,286.67715,13.571428571428571,18.9,2.3,3.114285714285714,190.8571428571429,4.285714285714286,58.9
ETJ1,2021-03-03,36.0,20.0,6.2607064,287.1357,13.042857142857144,20.8,5.1,2.0571428571428574,60.71428571428572,3.4285714285714284,3.2
ETJ1,2021-03-17,56.71911126005949,20.0,6.181015,287.80286,14.242857142857144,25.2,5.2,2.442857142857143,166.28571428571428,4.857142857142857,0.2
ETJ1,2021-03-17,58.653569615092245,20.0,6.181015,287.80286,14.242857142857144,25.2,5.2,2.442857142857143,166.28571428571428,4.857142857142857,0.2
ETJ1,2021-03-24,36.0,20.0,6.7788534,287.94,11.757142857142856,21.6,-0.4,2.628571428571429,122.42857142857144,4.0,0.0
ETJ1,2021-03-31,36.0,20.0,5.4789767,288.54572,15.8,28.3,0.5,2.3428571428571425,85.14285714285714,3.142857142857143,0.0
ETJ1,2021-04-07,36.0,20.0,7.56632,288.58572,13.685714285714283,23.7,2.9,1.8571428571428568,266.85714285714283,6.0,1.8
ETJ1,2021-04-21,36.0,20.0,12.189972,289.19427,15.357142857142858,24.5,6.3,1.8,209.57142857142856,5.714285714285714,2.4
ETJ1,2021-04-21,36.0,20.0,12.189972,289.19427,15.357142857142858,24.5,6.3,1.8,209.57142857142856,5.714285714285714,2.4
ETJ1,2021-04-28,36.0,60.0,8.663165,290.4714,16.642857142857142,22.3,8.2,2.414285714285714,199.42857142857144,4.571428571428571,19.7
ETJ1,2021-05-05,36.0,20.0,8.618409,290.74286,14.671428571428567,26.0,2.3,2.3714285714285714,230.28571428571428,7.428571428571429,0.0
ETJ1,2021-05-19,36.0,880.0,6.659114,291.6843,17.057142857142857,28.6,7.0,2.1,324.2857142857143,7.285714285714286,0.0
ETJ1,2021-05-19,36.0,20.0,6.659114,291.6843,17.057142857142857,28.6,7.0,2.1,324.2857142857143,7.285714285714286,0.0
ETJ1,2021-05-26,36.0,20.0,7.2798147,291.56857,17.04285714285714,28.7,4.6,2.757142857142857,300.2857142857143,7.857142857142857,0.0
ETJ1,2021-06-02,66.0,20.0,9.464429,292.41,17.114285714285714,28.6,6.0,1.9428571428571428,316.85714285714283,7.0,0.0
ETJ1,2021-06-09,87.52980975608715,20.0,6.6480103,292.55856,18.685714285714287,33.6,5.8,2.7,246.8571428571429,7.857142857142857,0.0
ETJ1,2021-06-30,36.0,20.0,7.2165976,294.44287,18.9,30.2,7.0,2.5285714285714285,316.1428571428572,7.142857142857143,0.0
ETJ1,2021-07-07,36.0,20.0,7.506715,294.77286,18.714285714285715,27.5,8.3,1.7142857142857142,286.1666666666667,6.714285714285714,0.8999999999999999
ETJ1,2021-07-14,36.0,2560.0,7.520266,293.70428,22.2,38.0,9.4,2.685714285714286,198.8571428571429,8.0,0.0
ETJ1,2021-07-28,36.0,12320.0,6.3773184,294.37427,,32.1,,2.5,328.5,7.5,0.0
ETJ1,2021-07-28,211.4886198860223,20.0,6.3773184,294.37427,,32.1,,2.5,328.5,7.5,0.0
ETJ1,2021-08-04,101.34829324717948,20.0,9.00327,294.19998,,30.7,,1.2,225.0,5.0,0.0
ETJ1,2021-08-11,92.772054677517,40.0,8.515366,294.6214,20.342857142857145,32.1,7.7,2.5285714285714285,335.7142857142857,7.428571428571429,0.5
ETJ1,2021-08-18,25.05,2600.0,4.8964877,295.16428,21.928571428571427,36.4,9.9,1.957142857142857,288.1428571428572,7.571428571428571,0.0
ETJ1,2021-08-25,36.0,11880.0,5.3581653,295.27,19.728571428571428,31.7,9.9,2.157142857142857,260.1428571428572,6.714285714285714,0.0
ETJ1,2021-09-01,60.82332578523751,2460.0,6.6049614,295.4643,19.442857142857143,25.0,12.2,1.3857142857142857,212.66666666666663,5.0,0.3
