Station,date,dsp_toxins
ETJ1,2021-01-06,36.0
ETJ1,2021-01-13,36.0
ETJ1,2021-01-20,36.0
ETJ1,2021-01-26,36.0
ETJ1,2021-02-03,36.0
ETJ1,2021-02-10,36.0
ETJ1,2021-02-17,36.0
ETJ1,2021-02-24,36.0
ETJ1,2021-03-02,36.0
ETJ1,2021-03-11,56.71911126005949
ETJ1,2021-03-17,58.653569615092245
ETJ1,2021-03-22,36.0
ETJ1,2021-03-29,36.0
ETJ1,2021-04-05,36.0
ETJ1,2021-04-15,36.0
ETJ1,2021-04-20,36.0
ETJ1,2021-04-26,36.0
ETJ1,2021-05-05,36.0
ETJ1,2021-05-13,36.0
ETJ1,2021-05-19,36.0
ETJ1,2021-05-25,36.0
ETJ1,2021-05-31,66.0
ETJ1,2021-06-08,87.52980975608715
ETJ1,2021-06-30,36.0
ETJ1,2021-07-07,36.0
ETJ1,2021-07-13,36.0
ETJ1,2021-07-22,36.0
ETJ1,2021-07-28,211.4886198860223
ETJ1,2021-08-02,101.34829324717948
ETJ1,2021-08-11,92.77205467751699
ETJ1,2021-08-16,25.05
ETJ1,2021-08-23,36.0
ETJ1,2021-08-30,60.82332578523751
ETJ1,2021-09-07,151.16078388510965
ETJ1,2021-09-14,88.83722114722188
ETJ1,2021-09-20,55.25255896323838
ETJ1,2021-09-28,69.46095972816514
ETJ1,2021-10-06,36.0
ETJ1,2021-10-12,36.0
ETJ1,2021-10-19,36.0
ETJ1,2021-10-27,36.0
ETJ1,2021-11-03,36.0
ETJ1,2021-11-11,36.0
ETJ1,2021-11-19,36.0
ETJ1,2021-11-23,36.0
ETJ1,2021-11-29,36.0
ETJ1,2021-12-07,36.0
ETJ1,2021-12-14,36.0
ETJ1,2021-12-21,36.0
ETJ1,2021-12-27,36.0
ETJ1,2022-01-04,36.0
ETJ1,2022-01-10,36.0
ETJ1,2022-01-18,36.0
ETJ1,2022-01-24,36.0
ETJ1,2022-02-01,36.0
ETJ1,2022-02-07,36.0
ETJ1,2022-02-16,36.0
ETJ1,2022-02-24,36.0
