ESTACAO,ANO,MS,DI,P_E_MD,P_E_MX,P_E_MN,P_M_MD,P_M_MX,P_M_MN,T_MED,T_MAX,T_MIN,HR_MED,HR_MAX,HR_MIN,TW_MED,TW_MAX,TW_MIN,TD_MED,TD_MAX,TD_MIN,E_MED,E_MAX,E_MIN,DD_MED,DD_FFX,DD_DP,DD_PRE,FF_MED,FF_MAX,FF_DP,TSUP_M,TSUP_X,TSUP_N,T_05_M,T_05_X,T_05_N,T_10_M,T_10_X,T_10_N,T_20_M,T_20_X,T_20_N,T_50_M,T_50_X,T_50_N,T100_M,T100_X,T100_N,PR_DUR,PR_QTD,PR_I_X,RG_TOT,RD_TOT
1210881,2021,1,1,1016.4,1017.6,1015.2,1017.3,1018.5,1016.0,9.2,14.7,5.0,82,93,59,7.3,11.6,3.5,6.2,10.2,2.5,9.5,12.5,7.3,-990,135,-990,0,1.0,11.1,-990.0,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,1.3,-990.0,-990,-990
1210881,2021,1,2,1017.6,1019.0,1016.5,1018.5,1019.9,1017.3,8.2,14.6,3.7,75,87,52,5.6,9.9,2.1,3.7,7.7,1.1,8.0,10.5,6.6,-990,87,-990,0,1.0,7.2,-990.0,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,0.1,-990.0,-990,-990
1210881,2021,1,3,1018.5,1020.0,1017.1,1019.3,1020.9,1018.0,7.6,14.5,1.3,73,88,52,4.9,10.2,-0.1,2.9,8.2,-1.5,7.6,10.9,5.5,-990,331,-990,0,0.4,4.8,-990.0,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,0.0,-990.0,-990,-990
1210881,2021,1,4,1014.3,1017.1,1011.7,1015.2,1018.0,1012.6,9.1,14.4,5.0,78,91,63,6.8,11.1,3.1,5.4,9.4,1.5,9.0,11.8,6.8,-990,13,-990,0,0.9,6.4,-990.0,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,0.1,-990.0,-990,-990
1210881,2021,1,5,1009.6,1011.7,1007.5,1010.5,1012.6,1008.3,8.0,10.7,5.7,82,91,70,6.2,8.7,4.3,5.1,7.6,2.9,8.8,10.4,7.5,-990,90,-990,8,1.7,6.5,-990.0,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,0.0,-990.0,-990,-990
1210881,2021,1,6,1007.7,1010.3,1004.7,1008.6,1011.2,1005.6,7.9,11.0,5.7,77,92,63,5.7,8.1,3.3,4.1,7.3,0.9,8.2,10.2,6.5,-990,35,-990,1,2.7,7.6,-990.0,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,2.1,-990.0,-990,-990
1210881,2021,1,7,1006.1,1008.3,1004.5,1006.9,1009.1,1005.4,9.7,13.0,7.5,79,89,67,7.6,10.0,6.0,6.2,8.4,4.8,9.5,11.0,8.6,-990,13,-990,1,2.0,7.4,-990.0,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,0.2,-990.0,-990,-990
1210881,2021,1,8,1001.4,1005.5,997.9,1002.3,1006.4,998.7,7.4,9.1,5.3,84,90,73,5.9,7.7,2.8,4.9,7.1,0.9,8.7,10.1,6.5,-990,357,-990,1,2.8,8.7,-990.0,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,6.1,-990.0,-990,-990
1210881,2021,1,9,1004.7,1006.3,1002.9,1005.6,1007.2,1003.7,6.2,11.9,1.7,68,82,48,3.2,7.3,-0.4,0.6,3.9,-3.1,6.4,8.1,4.9,-990,237,-990,6,2.0,8.5,-990.0,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,0.0,-990.0,-990,-990
1210881,2021,1,10,1010.1,1015.0,1005.9,1011.0,1015.9,1006.8,5.9,11.0,1.8,76,86,61,3.6,7.5,0.4,1.9,4.9,-0.6,7.1,8.7,5.8,-990,297,-990,5,1.9,8.0,-990.0,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,0.0,-990.0,-990,-990
1210881,2021,1,11,1019.9,1025.6,1014.9,1020.8,1026.5,1015.8,8.0,13.5,3.9,70,83,56,5.0,9.7,1.7,2.7,8.1,-0.4,7.5,10.8,5.9,-990,237,-990,6,1.2,4.9,-990.0,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,0.0,-990.0,-990,-990
1210881,2021,1,12,1028.2,1030.1,1025.6,1029.1,1031.0,1026.5,7.5,12.6,3.9,69,79,60,4.5,9.0,1.5,2.2,6.6,-1.6,7.2,9.7,5.4,-990,352,-990,7,1.8,5.7,-990.0,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,0.0,-990.0,-990,-990
1210881,2021,1,13,1029.4,1030.8,1028.6,1030.3,1031.7,1029.5,8.1,15.2,1.4,69,81,51,5.0,11.3,-0.5,2.7,8.7,-2.5,7.6,11.2,5.1,-990,142,-990,0,0.5,4.2,-990.0,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,0.0,-990.0,-990,-990
