ESTACAO,ANO,MS,DI,P_E_MD,P_E_MX,P_E_MN,P_M_MD,P_M_MX,P_M_MN,T_MED,T_MAX,T_MIN,HR_MED,HR_MAX,HR_MIN,TW_MED,TW_MAX,TW_MIN,TD_MED,TD_MAX,TD_MIN,E_MED,E_MAX,E_MIN,DD_MED,DD_FFX,DD_DP,DD_PRE,FF_MED,FF_MAX,FF_DP,TSUP_M,TSUP_X,TSUP_N,T_05_M,T_05_X,T_05_N,T_10_M,T_10_X,T_10_N,T_20_M,T_20_X,T_20_N,T_50_M,T_50_X,T_50_N,T100_M,T100_X,T100_N,PR_DUR,PR_QTD,PR_I_X,RG_TOT,RD_TOT,RD_TOT.1
1210702,2021,1,1,1016.7,1018.3,1015.6,1017.4,1018.9,1016.5,7.5,11.1,4.0,84,97,65,5.8,8.8,3.4,4.7,8.6,2.7,8.6,11.2,7.4,45,5,64,1,2.8,13.7,1.9,9.3,13.5,7.4,9.5,11.8,8.3,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,3.1,0.2,8553.2,-990,
1210702,2021,1,2,1019.2,1020.9,1017.8,1020.0,1021.5,1018.6,6.0,10.6,1.4,84,97,68,4.4,7.8,0.5,3.4,6.3,-0.2,7.8,9.5,6.0,56,0,62,1,2.0,7.4,1.5,7.9,12.5,5.6,8.3,10.8,6.6,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,0.0,0.0,10267.8,-990,
1210702,2021,1,3,1019.4,1021.4,1016.6,1020.1,1022.0,1017.4,5.3,10.4,1.0,87,98,66,4.0,8.2,0.0,3.3,7.0,-0.7,7.8,10.0,5.8,148,359,74,3,1.7,5.6,0.8,7.6,12.4,5.2,7.9,10.7,6.1,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,4.1,0.2,7985.6,-990,
1210702,2021,1,4,1014.4,1016.7,1012.7,1015.1,1017.3,1013.4,6.5,11.4,2.6,87,99,58,5.1,9.0,1.6,4.3,8.3,1.1,8.3,10.9,6.6,92,22,67,2,1.6,4.9,0.7,8.2,13.0,5.8,8.5,11.1,6.9,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,1.0,0.1,8636.4,-990,
1210702,2021,1,5,1012.9,1014.6,1011.3,1013.6,1015.3,1012.1,4.4,9.7,-0.1,80,96,52,2.5,6.3,-1.6,1.0,5.1,-2.6,6.6,8.8,5.0,103,104,77,2,1.4,4.2,0.7,6.6,11.7,4.1,7.0,9.8,5.3,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,0.1,0.1,10425.1,-990,
1210702,2021,1,6,1012.7,1014.9,1011.3,1013.4,1015.6,1012.0,5.3,11.3,0.2,71,91,48,2.6,7.2,-1.4,0.3,4.8,-3.0,6.3,8.6,4.9,84,107,78,2,1.6,5.1,0.8,6.4,11.6,3.9,6.8,9.7,5.0,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,0.0,0.0,10118.6,-990,
1210702,2021,1,7,1012.5,1014.1,1011.3,1013.2,1014.7,1012.1,5.6,10.8,1.0,66,88,43,2.5,6.7,-1.5,-0.5,3.9,-6.5,5.9,8.1,3.8,38,356,33,1,2.0,6.2,0.9,5.9,11.3,3.3,6.2,9.3,4.4,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,0.0,0.0,10323.1,-990,
1210702,2021,1,8,1010.1,1013.3,1007.3,1010.8,1013.9,1008.0,4.8,10.3,0.4,65,89,38,1.6,5.3,-2.2,-1.7,1.8,-5.8,5.4,7.0,3.9,34,11,34,1,2.3,8.6,1.3,5.4,10.9,2.9,5.7,8.7,3.9,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,0.0,0.0,10402.7,-990,
1210702,2021,1,9,1007.7,1009.4,1006.7,1008.4,1010.0,1007.4,5.4,8.9,1.7,58,71,37,1.7,4.6,-1.4,-2.4,2.5,-6.2,5.2,7.3,3.8,31,23,18,1,3.4,9.8,1.6,6.0,9.9,3.4,6.1,8.1,4.2,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,0.0,0.0,8462.4,-990,
1210702,2021,1,10,1015.1,1021.1,1009.2,1015.9,1021.8,1010.0,6.6,9.5,3.1,69,88,51,3.6,7.0,-0.7,1.1,6.2,-5.8,6.6,9.5,4.0,51,98,37,1,2.4,10.8,1.4,6.2,9.2,4.4,6.6,8.5,5.2,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,-990,0.0,0.0,3845.1,-990,
