date,Station,phyto
2021-01-06 00:00:00.000000000,ETJ1,20
2021-01-13 00:00:00.000000000,ETJ1,20
2021-01-20 00:00:00.000000000,ETJ1,20
2021-01-26 00:00:00.000000000,ETJ1,20
2021-02-03 00:00:00.000000000,ETJ1,20
2021-02-10 00:00:00.000000000,ETJ1,20
2021-02-18 00:00:00.000000000,ETJ1,40
2021-02-24 00:00:00.000000000,ETJ1,20
2021-03-02 00:00:00.000000000,ETJ1,20
2021-03-11 00:00:00.000000000,ETJ1,20
2021-03-17 00:00:00.000000000,ETJ1,20
2021-03-22 00:00:00.000000000,ETJ1,20
2021-03-29 00:00:00.000000000,ETJ1,20
2021-04-05 00:00:00.000000000,ETJ1,20
2021-04-15 00:00:00.000000000,ETJ1,20
2021-04-20 00:00:00.000000000,ETJ1,20
2021-04-26 00:00:00.000000000,ETJ1,60
2021-05-05 00:00:00.000000000,ETJ1,20
2021-05-13 00:00:00.000000000,ETJ1,880
2021-05-18 00:00:00.000000000,ETJ1,20
2021-05-25 00:00:00.000000000,ETJ1,20
2021-05-31 00:00:00.000000000,ETJ1,20
2021-06-08 00:00:00.000000000,ETJ1,20
2021-06-16 00:00:00.000000000,ETJ1,20
2021-06-23 00:00:00.000000000,ETJ1,20
2021-06-30 00:00:00.000000000,ETJ1,20
2021-07-07 00:00:00.000000000,ETJ1,20
2021-07-13 00:00:00.000000000,ETJ1,2560
2021-07-22 00:00:00.000000000,ETJ1,12320
2021-07-28 00:00:00.000000000,ETJ1,20
2021-08-02 00:00:00.000000000,ETJ1,20
2021-08-11 00:00:00.000000000,ETJ1,40
2021-08-16 00:00:00.000000000,ETJ1,2600
2021-08-23 00:00:00.000000000,ETJ1,11880
2021-08-30 00:00:00.000000000,ETJ1,2460
2021-09-07 00:00:00.000000000,ETJ1,40
2021-09-14 00:00:00.000000000,ETJ1,40
2021-09-20 00:00:00.000000000,ETJ1,40
2021-09-28 00:00:00.000000000,ETJ1,40
2021-10-06 00:00:00.000000000,ETJ1,20
2021-10-12 00:00:00.000000000,ETJ1,20
2021-10-19 00:00:00.000000000,ETJ1,20
2021-10-27 00:00:00.000000000,ETJ1,60
2021-11-03 00:00:00.000000000,ETJ1,20
2021-11-11 00:00:00.000000000,ETJ1,20
2021-11-18 00:00:00.000000000,ETJ1,20
2021-11-23 00:00:00.000000000,ETJ1,20
2021-11-29 00:00:00.000000000,ETJ1,20
2021-12-07 00:00:00.000000000,ETJ1,20
2021-12-14 00:00:00.000000000,ETJ1,20
2021-12-21 00:00:00.000000000,ETJ1,20
2021-12-27 00:00:00.000000000,ETJ1,20
2022-01-04 00:00:00.000000000,ETJ1,20
2022-01-10 00:00:00.000000000,ETJ1,20
2022-01-18 00:00:00.000000000,ETJ1,20
2022-01-24 00:00:00.000000000,ETJ1,20
2022-02-01 00:00:00.000000000,ETJ1,20
2022-02-07 00:00:00.000000000,ETJ1,20
2022-02-16 00:00:00.000000000,ETJ1,20
2022-02-28 00:00:00.000000000,ETJ1,20
2022-03-09 00:00:00.000000000,ETJ1,20
2022-03-16 00:00:00.000000000,ETJ1,20
2022-03-22 00:00:00.000000000,ETJ1,20
2022-03-30 00:00:00.000000000,ETJ1,20
2022-04-06 00:00:00.000000000,ETJ1,20
2022-04-11 00:00:00.000000000,ETJ1,20
2022-04-19 00:00:00.000000000,ETJ1,20
2022-04-27 00:00:00.000000000,ETJ1,20
2022-05-03 00:00:00.000000000,ETJ1,20
2022-05-10 00:00:00.000000000,ETJ1,20
2022-05-17 00:00:00.000000000,ETJ1,20
2022-05-25 00:00:00.000000000,ETJ1,560
2022-06-01 00:00:00.000000000,ETJ1,60
2022-06-14 00:00:00.000000000,ETJ1,180
2022-06-22 00:00:00.000000000,ETJ1,300
2022-06-29 00:00:00.000000000,ETJ1,20
2022-07-04 00:00:00.000000000,ETJ1,60
2022-07-11 00:00:00.000000000,ETJ1,320
2022-07-18 00:00:00.000000000,ETJ1,180
2022-07-27 00:00:00.000000000,ETJ1,640
2022-08-01 00:00:00.000000000,ETJ1,340
2022-08-10 00:00:00.000000000,ETJ1,40
2022-08-24 00:00:00.000000000,ETJ1,60
2022-08-29 00:00:00.000000000,ETJ1,20
2022-09-05 00:00:00.000000000,ETJ1,20
2022-09-14 00:00:00.000000000,ETJ1,20
2022-09-21 00:00:00.000000000,ETJ1,20
2022-09-29 00:00:00.000000000,ETJ1,20
2022-10-03 00:00:00.000000000,ETJ1,20
2022-10-12 00:00:00.000000000,ETJ1,20
2022-10-17 00:00:00.000000000,ETJ1,20
2022-10-26 00:00:00.000000000,ETJ1,20
2022-11-02 00:00:00.000000000,ETJ1,20
2022-11-10 00:00:00.000000000,ETJ1,20
2022-11-16 00:00:00.000000000,ETJ1,20
2022-11-23 00:00:00.000000000,ETJ1,20
2022-11-28 00:00:00.000000000,ETJ1,20
2022-12-05 00:00:00.000000000,ETJ1,20
2022-12-14 00:00:00.000000000,ETJ1,20
2022-12-22 00:00:00.000000000,ETJ1,40
2022-12-28 00:00:00.000000000,ETJ1,20
2023-01-02 00:00:00.000000000,ETJ1,20
2023-01-11 00:00:00.000000000,ETJ1,20
2023-01-18 00:00:00.000000000,ETJ1,20
2023-01-23 00:00:00.000000000,ETJ1,20
